eventid,targettype_id
197005040001,7.0
197005040002,2.0
197005040003,4.0
197005040004,2.0
197005040005,4.0
197005050001,7.0
197005050002,4.0
197005050004,8.0
197005050005,2.0
197005050006,1.0
197005060001,2.0
197005060002,4.0
197005060003,4.0
197005060004,2.0
197005060005,4.0
197005060006,2.0
197005060007,15.0
197005070002,1.0
197005080001,4.0
197005090001,8.0
197005090002,2.0
197005090003,3.0
197005100001,1.0
197005100002,12.0
197005120001,6.0
197005120002,16.0
197005120003,2.0
197005130001,3.0
197005130002,4.0
197005130003,14.0
197005130004,1.0
197005140001,4.0
197005140002,8.0
197005140003,8.0
197005140004,1.0
197005150001,1.0
197005150002,4.0
197005150003,1.0
197005150004,1.0
197005160001,4.0
197005190001,2.0
197005200001,21.0
197005200002,2.0
197005200003,8.0
197005210001,14.0
197005220001,17.0
197005220002,3.0
197005220003,3.0
197005250001,1.0
197005260001,1.0
197005260002,1.0
197005270001,2.0
197005270002,15.0
197005270003,15.0
197005280001,3.0
197005280002,2.0
197005280003,8.0
197005280004,8.0
197005290001,2.0
197005290002,4.0
197005290004,14.0
197005290005,4.0
197005300001,1.0
197006010001,2.0
197006020001,6.0
197006020002,21.0
197006020003,14.0
197006030001,2.0
197006040001,3.0
197006050001,4.0
197006060001,7.0
197006060002,1.0
197006060003,2.0
197006060004,1.0
197006060005,3.0
197006070001,4.0
197006070002,7.0
197006070003,3.0
197006080001,2.0
197006080002,4.0
197006090001,1.0
197006090002,6.0
197006090003,3.0
197006090004,1.0
197006090005,1.0
197006090007,2.0
197006090008,14.0
197006100001,4.0
197006110001,7.0
197006110002,6.0
197006110003,3.0
197006120001,7.0
197006120002,2.0
197006120003,3.0
197006130001,1.0
197006130002,1.0
197006140001,2.0
197006140002,2.0
197006150001,3.0
197006170001,3.0
197006180001,8.0
197006180002,13.0
197006190001,1.0
197006190002,1.0
197006190003,3.0
197006190004,3.0
197006210001,3.0
197006230001,2.0
197006230003,4.0
197006230004,1.0
197006250001,14.0
197006260001,17.0
197006270001,14.0
197006270002,14.0
197006270003,14.0
197006270004,15.0
197006280001,3.0
197006290001,8.0
197006290002,1.0
197006300001,3.0
197006300002,1.0
197006300003,1.0
197006300004,1.0
197006300005,1.0
197007000001,1.0
197007000002,15.0
197007010003,6.0
197007010004,14.0
197007010005,8.0
197007020001,7.0
197007020002,7.0
197007020003,7.0
197007020004,7.0
197007020005,1.0
197007020006,3.0
197007030001,14.0
197007030002,1.0
197007040001,1.0
197007040002,4.0
197007040003,8.0
197007040004,14.0
197007040005,14.0
197007040006,14.0
197007050001,3.0
197007070001,14.0
197007070002,7.0
197007070003,1.0
197007070004,7.0
197007080001,1.0
197007080002,10.0
197007090001,2.0
197007090002,2.0
197007100001,2.0
197007110001,1.0
197007110002,14.0
197007120001,1.0
197007140001,12.0
197007140002,4.0
197007160001,12.0
197007160002,4.0
197007160003,2.0
197007170001,3.0
197007180001,1.0
197007200001,12.0
197007210001,1.0
197007210002,1.0
197007210003,3.0
197007210004,1.0
197007220001,6.0
197007220002,21.0
197007220003,4.0
197007230001,1.0
197007230002,2.0
197007240001,7.0
197007240002,12.0
197007260001,1.0
197007260002,4.0
197007270001,1.0
197007270002,21.0
197007270003,16.0
197007270004,4.0
197007270005,4.0
197007280001,2.0
197007280002,1.0
197007280003,10.0
197007300001,2.0
197007300002,21.0
197007310001,7.0
197007310002,7.0
197007310003,2.0
197007310004,14.0
197007310006,14.0
197008000001,7.0
197008010001,1.0
197008010002,7.0
197008020001,3.0
197008050001,1.0
197008060001,3.0
197008060002,1.0
197008060004,3.0
197008070001,2.0
197008070002,2.0
197008070003,2.0
197008090001,1.0
197008100001,2.0
197008110001,3.0
197008120001,3.0
197008140001,3.0
197008150001,14.0
197008170001,14.0
197008170002,4.0
197008180001,12.0
197008190001,2.0
197008200001,7.0
197008200002,2.0
197008200003,3.0
197008210001,16.0
197008210002,8.0
197008220001,3.0
197008220002,4.0
197008240001,4.0
197008250001,7.0
197008250002,3.0
197008270001,1.0
197008270002,8.0
197008280001,8.0
197008280002,4.0
197008290001,7.0
197008290002,1.0
197008290003,2.0
197008290004,2.0
197008300001,7.0
197008300002,8.0
197008310001,4.0
197009000001,4.0
197009000002,1.0
197009010002,1.0
197009020001,7.0
197009020002,3.0
197009020003,1.0
197009030001,1.0
197009030002,14.0
197009040001,1.0
197009040002,2.0
197009040003,17.0
197009040004,1.0
197009040005,2.0
197009050001,3.0
197009050002,2.0
197009060001,6.0
197009060002,6.0
197009060003,6.0
197009060004,6.0
197009060006,3.0
197009090001,14.0
197009090002,7.0
197009090003,10.0
197009100002,8.0
197009110001,7.0
197009110003,1.0
197009120001,10.0
197009120002,7.0
197009140001,1.0
197009160001,1.0
197009180001,3.0
197009180002,3.0
197009200001,4.0
197009230001,3.0
197009230002,1.0
197009240001,2.0
197009240002,7.0
197009250001,4.0
197009260001,3.0
197009260002,7.0
197009270001,6.0
197009300001,14.0
197010000001,1.0
197010010001,14.0
197010020002,4.0
197010020003,8.0
197010020004,9.0
197010030001,7.0
197010030002,1.0
197010050001,2.0
197010050002,14.0
197010050003,8.0
197010060001,4.0
197010060002,17.0
197010080001,4.0
197010080002,4.0
197010080003,2.0
197010080004,8.0
197010080005,1.0
197010080006,7.0
197010090001,16.0
197010100001,2.0
197010100002,6.0
197010100003,2.0
197010140001,8.0
197010140002,3.0
197010150001,8.0
197010150002,10.0
197010150003,1.0
197010150004,6.0
197010150005,1.0
197010150006,3.0
197010160001,2.0
197010170001,3.0
197010180001,8.0
197010190001,8.0
197010200001,7.0
197010200002,2.0
197010210001,7.0
197010210003,3.0
197010220001,15.0
