eventid,weapontype_id
197006060005,6.0
197006070001,13.0
197006070002,13.0
197006070003,6.0
197006080001,6.0
197006080002,6.0
197006090001,13.0
197006090002,6.0
197006090003,6.0
197006090004,5.0
197006090005,5.0
197006090007,8.0
197006090008,5.0
197006100001,13.0
197006110001,13.0
197006110002,6.0
197006110003,6.0
197006120001,13.0
197006120002,6.0
197006120003,5.0
197006130001,6.0
197006130002,6.0
197006140001,8.0
197006140002,8.0
197006150001,6.0
197006170001,6.0
197006180001,8.0
197006180002,8.0
197006190001,6.0
197006190002,6.0
197006190003,5.0
197006190004,5.0
197006210001,6.0
197006230001,8.0
197006230003,6.0
197006230004,6.0
197006250001,6.0
197006260001,8.0
197006270001,5.0
197006270002,5.0
197006270003,5.0
197006270004,5.0
197006280001,5.0
197006290001,6.0
197006290002,6.0
197006300001,5.0
197006300002,8.0
197006300003,8.0
197006300004,8.0
197006300005,8.0
197007000001,6.0
197007000002,8.0
197007010003,13.0
197007010004,6.0
197007010005,6.0
197007020001,6.0
197007020002,6.0
197007020003,6.0
197007020004,6.0
197007020005,6.0
197007020006,6.0
197007030001,6.0
197007030002,6.0
197007040001,6.0
197007040002,8.0
197007040003,6.0
197007040004,6.0
197007040005,6.0
197007040006,5.0
197007050001,6.0
197007070001,6.0
197007070002,6.0
197007070003,6.0
197007070004,6.0
197007080001,6.0
197007080002,8.0
197007090001,8.0
197007090002,8.0
197007100001,13.0
197007110001,13.0
197007110002,5.0
197007120001,6.0
197007140001,8.0
197007140002,8.0
197007160001,8.0
197007160002,8.0
197007160003,8.0
197007170001,5.0
197007180001,6.0
197007200001,8.0
197007210001,13.0
197007210002,6.0
197007210003,6.0
197007210004,6.0
197007220001,5.0
197007220002,6.0
197007220003,8.0
197007230001,13.0
197007230002,6.0
197007240001,13.0
197007240002,8.0
197007260001,6.0
197007260002,6.0
197007270001,6.0
197007270002,6.0
197007270003,6.0
197007270004,6.0
197007270005,6.0
197007280001,13.0
197007280002,6.0
197007280003,6.0
197007300001,6.0
197007300002,6.0
197007310001,13.0
197007310002,13.0
197007310003,13.0
197007310004,5.0
197007310006,5.0
197008000001,5.0
197008010001,6.0
197008010002,6.0
197008020001,6.0
197008050001,6.0
197008060001,5.0
197008060002,6.0
197008060004,5.0
197008070001,6.0
197008070002,8.0
197008070003,5.0
