eventid,attacktype_id
197004130004,3.0
197004140002,3.0
197004140003,3.0
197004140004,3.0
197004150001,3.0
197004150002,7.0
197004150004,7.0
197004150005,7.0
197004160001,3.0
197004160002,3.0
197004160003,3.0
197004160004,3.0
197004170001,2.0
197004190001,3.0
197004190002,3.0
197004190003,3.0
197004190004,3.0
197004190005,3.0
197004200001,7.0
197004210001,3.0
197004210002,7.0
197004220001,3.0
197004220002,7.0
197004220003,7.0
197004220004,7.0
197004220005,7.0
197004220006,7.0
197004230001,3.0
197004230002,3.0
197004230003,3.0
197004230004,3.0
197004240001,7.0
197004240002,2.0
197004240003,3.0
197004240004,1.0
197004250001,3.0
197004250003,7.0
197004250004,3.0
197004250005,3.0
197004250006,3.0
197004260001,3.0
197004260002,3.0
197004260003,3.0
197004270001,3.0
197004270002,7.0
197004270003,7.0
197004270004,3.0
197004270005,7.0
197004270006,3.0
197004280001,7.0
197004280002,7.0
197004290001,3.0
197004300001,3.0
197005000001,7.0
197005000002,3.0
197005010002,7.0
197005010003,3.0
197005010004,3.0
197005010005,3.0
197005010006,3.0
197005010007,7.0
197005010008,7.0
197005040001,1.0
197005040002,7.0
197005040003,3.0
197005040004,7.0
197005040005,7.0
197005050001,7.0
197005050002,7.0
197005050004,3.0
197005050005,7.0
197005050006,3.0
197005060001,7.0
197005060002,3.0
197005060003,7.0
197005060004,7.0
197005060005,7.0
197005060006,7.0
197005060007,7.0
197005070002,3.0
197005080001,7.0
197005090001,7.0
197005090002,3.0
197005090003,2.0
197005100001,7.0
197005100002,3.0
197005120001,3.0
197005120002,3.0
197005120003,7.0
197005130001,3.0
197005130002,3.0
197005130003,7.0
197005130004,7.0
197005140001,7.0
197005140002,3.0
197005140003,3.0
197005140004,7.0
197005150001,7.0
197005150002,1.0
197005150003,2.0
197005150004,3.0
197005160001,3.0
197005190001,7.0
197005200001,3.0
197005200002,7.0
197005200003,7.0
197005210001,3.0
197005220001,8.0
197005220002,2.0
197005220003,3.0
197005250001,7.0
197005260001,7.0
197005260002,7.0
197005270001,3.0
197005270002,7.0
197005270003,7.0
197005280001,2.0
197005280002,3.0
197005280003,3.0
197005280004,7.0
197005290001,6.0
197005290002,2.0
197005290004,3.0
197005290005,7.0
197005300001,3.0
197006010001,1.0
197006020001,3.0
197006020002,3.0
197006020003,1.0
197006030001,7.0
197006040001,3.0
197006050001,3.0
197006060001,3.0
197006060002,2.0
197006060003,2.0
197006060004,7.0
197006060005,3.0
197006070001,9.0
197006070002,6.0
197006070003,3.0
197006080001,3.0
197006080002,3.0
197006090001,6.0
197006090002,3.0
197006090003,3.0
197006090004,5.0
197006090005,5.0
197006090007,7.0
197006090008,1.0
197006100001,1.0
197006110001,6.0
197006110002,3.0
197006110003,3.0
197006120001,9.0
197006120002,3.0
197006120003,2.0
197006130001,3.0
197006130002,3.0
197006140001,7.0
197006140002,7.0
197006150001,3.0
197006170001,3.0
197006180001,7.0
197006180002,7.0
197006190001,3.0
197006190002,3.0
197006190003,2.0
197006190004,2.0
197006210001,3.0
197006230001,7.0
197006230003,3.0
197006230004,3.0
197006250001,3.0
197006260001,2.0
197006270001,2.0
197006270002,2.0
197006270003,2.0
197006270004,2.0
197006280001,2.0
197006290001,3.0
197006290002,3.0
197006300001,2.0
197006300002,7.0
197006300003,7.0
197006300004,7.0
197006300005,7.0
197007000001,3.0
197007000002,7.0
197007010003,4.0
197007010004,3.0
197007010005,3.0
197007020001,3.0
197007020002,3.0
197007020003,3.0
197007020004,3.0
197007020005,3.0
197007020006,3.0
197007030001,3.0
197007030002,3.0
197007040001,3.0
197007040002,7.0
197007040003,3.0
197007040004,3.0
197007040005,3.0
197007040006,1.0
197007050001,3.0
197007070001,3.0
197007070002,3.0
197007070003,3.0
197007070004,3.0
197007080001,3.0
197007080002,7.0
197007090001,7.0
197007090002,7.0
197007100001,6.0
197007110001,6.0
197007110002,2.0
197007120001,3.0
197007140001,7.0
197007140002,7.0
197007160001,7.0
197007160002,7.0
197007160003,7.0
197007170001,2.0
197007180001,3.0
197007200001,7.0
197007210001,6.0
197007210002,3.0
197007210003,3.0
197007210004,3.0
197007220001,4.0
197007220002,3.0
197007220003,7.0
197007230001,6.0
197007230002,3.0
197007240001,6.0
197007240002,7.0
